02/02,33953
03/10,32872
04/14,32453
03/09,31990
03/16,31799
02/24,31596
05/05,31491
03/17,31414
03/03,31365
02/09,31354
02/03,31272
01/13,31203
03/24,31202
02/16,31028
02/17,30906
02/23,30896
04/28,30855
01/26,30818
02/10,30735
04/20,30726
01/27,30599
03/23,30512
01/12,30462
03/02,30449
01/20,30276
01/19,30262
03/31,29968
04/07,29965
03/15,29940
05/12,29832
04/21,29803
05/04,29698
04/27,29598
04/13,29537
03/01,29476
02/14,29335
05/11,29137
04/06,29060
02/22,28696
02/08,28548
04/19,28505
03/30,28493
05/18,28458
05/19,28370
02/15,28189
06/01,28152
02/01,28117
05/03,28088
03/29,28055
04/05,27923
06/02,27783
06/30,27747
03/14,27680
06/09,27550
05/10,27522
01/18,27482
01/25,27466
01/05,27453
06/22,27441
03/06,27427
01/06,27336
06/29,27148
03/08,27098
06/08,27075
12/14,27004
03/20,26981
04/12,26948
02/28,26929
04/26,26853
05/25,26813
01/24,26684
01/31,26667
05/16,26624
02/07,26619
01/11,26570
12/07,26554
01/03,26417
04/17,26394
05/09,26196
11/02,26165
05/26,26151
05/24,26135
04/18,26088
01/14,26069
01/09,26027
04/15,26025
01/10,26021
03/04,25972
04/11,25950
05/31,25948
01/30,25940
05/17,25919
03/28,25891
02/13,25869
10/26,25849
12/08,25835
10/12,25807
06/16,25756
04/04,25738
10/19,25717
02/06,25715
05/13,25704
10/13,25684
02/05,25682
12/15,25667
02/21,25651
06/23,25637
09/29,25629
06/21,25620
11/30,25611
04/25,25604
03/18,25602
11/10,25575
01/08,25474
12/20,25471
05/02,25460
05/15,25458
02/25,25426
09/21,25412
04/29,25406
12/01,25406
10/20,25390
04/08,25357
07/21,25350
02/27,25348
11/17,25319
02/04,25289
04/01,25265
09/22,25263
11/03,25250
10/05,25207
05/08,25200
04/03,25196
03/12,25172
06/07,25159
03/27,25156
06/20,25155
05/01,25151
01/17,25141
12/06,25118
03/25,25115
09/07,25071
09/28,25049
07/20,25043
05/22,25025
07/14,24991
03/22,24991
05/23,24985
04/30,24969
04/10,24875
02/12,24871
11/01,24861
11/09,24851
09/15,24830
12/21,24808
03/11,24789
02/26,24784
07/27,24765
04/24,24719
09/08,24709
06/14,24704
10/06,24695
01/16,24686
08/03,24678
09/14,24666
12/13,24585
07/13,24518
10/18,24517
06/28,24517
04/22,24500
04/09,24469
06/06,24437
03/26,24343
11/16,24333
08/10,24316
05/30,24310
10/04,24299
07/28,24194
03/19,24180
01/23,24168
03/13,24141
10/11,24136
10/25,24114
06/13,24086
01/28,24068
03/05,24031
05/06,24016
12/19,24001
11/14,23991
01/29,23969
06/19,23965
08/31,23950
08/17,23902
05/07,23893
06/17,23825
12/18,23823
08/04,23788
01/21,23781
09/27,23762
06/18,23729
01/22,23717
08/02,23700
04/23,23698
05/14,23675
06/27,23669
11/08,23655
02/18,23654
06/03,23603
06/05,23567
09/06,23559
10/17,23548
12/12,23544
08/18,23518
11/29,23467
12/05,23438
05/20,23424
07/07,23401
09/20,23378
01/01,23294
08/25,23291
02/20,23234
02/11,23233
01/02,23222
07/03,23201
04/16,23201
05/21,23198
10/24,23194
07/12,23163
06/24,23134
05/29,23117
10/27,23113
09/13,23090
07/26,23046
10/31,23024
12/04,22982
10/03,22979
07/19,22971
09/26,22969
11/28,22899
02/19,22875
06/04,22870
06/26,22804
12/22,22775
06/10,22737
11/21,22711
06/12,22671
07/06,22649
09/05,22640
09/12,22630
08/24,22574
08/11,22474
12/11,22469
10/10,22469
10/23,22413
07/17,22368
08/01,22362
07/05,22293
06/25,22238
08/30,22221
08/09,22167
07/18,22165
10/30,22140
08/16,22113
11/07,22071
10/16,22062
12/17,22057
12/31,22021
12/03,21977
11/27,21967
07/02,21963
09/01,21956
06/11,21893
01/07,21863
07/11,21859
11/13,21850
10/02,21834
11/20,21812
07/01,21794
11/05,21779
08/07,21777
08/29,21671
08/08,21660
10/09,21652
07/25,21606
10/21,21506
10/22,21442
12/10,21429
10/15,21396
09/04,21381
12/16,21316
09/25,21278
08/15,21254
11/19,21204
07/29,21155
07/16,21153
10/29,21144
07/10,21098
09/16,21090
08/05,21079
10/07,21020
11/26,20988
09/18,20958
10/14,20944
09/17,20915
07/24,20783
07/31,20776
10/01,20727
09/24,20685
06/15,20679
05/27,20678
08/28,20637
11/11,20630
11/06,20565
10/28,20512
09/30,20508
07/15,20487
08/23,20483
08/14,20479
09/19,20441
04/02,20440
07/09,20421
12/09,20401
11/18,20374
09/09,20365
07/30,20287
08/26,20225
07/08,20197
09/23,20110
08/06,20090
07/22,20088
08/12,20074
12/28,20047
12/29,19946
01/15,19741
07/23,19682
08/27,19579
09/02,19579
11/04,19520
12/27,19410
09/10,19384
08/19,19334
09/11,19331
12/24,19314
08/13,19248
12/02,19231
08/22,19138
03/07,18877
11/24,18825
12/23,18789
08/20,18676
11/12,18514
11/15,18226
10/08,17948
05/28,17606
12/30,17295
07/04,16975
12/26,16929
11/22,16706
11/25,16598
11/23,16277
09/03,15988
08/21,15866
03/21,11981
12/25,11681
01/04,6519
